Name,Nom_couran,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-01-31,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,TOTAL_ha
KHNICHET,,248.16018071159814,118.26681157951802,284.8260148281801,284.82601482818,284.82601482818,284.8260148281801,617.4538644432995,419.06777942217656,837.3328584079997,837.3328584079997,837.3328584079997,837.3328584079995,748.6507285616527,466.070183751496,683.3602613656316,683.3602613656317,683.3602613656316,683.3602613656317,663.7731246607998,577.3307106351247,742.897626730897,742.897626730897,742.897626730897,742.897626730897,797.827886851723,408.79877184070074,952.7108284865916,952.7108284865916,952.7108284865914,952.7108284865914,952.7108284865914,20022.621230221874
SIDI TAIBI,,180.8555130393952,625.1210118709909,625.1210118709909,625.1210118709909,625.1210118709909,625.1210118709909,223.99670153413658,278.33916446138267,278.33916446138267,278.33916446138267,278.33916446138267,278.33916446138267,352.69590046196436,383.63948836789604,383.63948836789604,383.63948836789604,383.63948836789604,383.6394883678959,491.9124102211507,908.9234836073697,908.9234836073695,908.9234836073695,908.9234836073697,908.9234836073697,1066.020076607666,1073.8259470149617,1073.8259470149617,1073.8259470149617,1073.8259470149617,1073.8259470149617,1073.8259470149617,19738.552025492278
SELFAT,,455.840739441588,331.00106901868634,378.1482042249612,378.1482042249612,378.1482042249612,378.1482042249612,443.74146022200046,161.03541903451955,372.7289730777996,372.7289730777996,372.7289730777996,372.7289730777996,765.0842979337206,233.65246008151186,455.34514515958904,455.3451451595889,455.34514515958904,455.34514515958904,975.707433077177,299.82421024324304,683.0379672610414,683.0379672610414,683.0379672610416,683.0379672610414,1809.8387597721714,770.6041298966471,1123.0351930241961,1123.035193024196,1123.0351930241961,1123.035193024196,1123.0351930241961,19418.547102735814
BNI OUAL,,451.31232153177905,70.7958865912703,479.8216299252618,479.8216299252619,479.8216299252618,479.8216299252619,347.0216633189362,94.77193741742302,437.73832370587513,437.73832370587513,437.73832370587513,437.73832370587513,380.636600649821,86.31265227170458,318.42241336233104,318.422413362331,318.422413362331,318.422413362331,518.6987029888556,295.75165505702597,855.5399754167864,855.5399754167865,855.5399754167864,855.5399754167865,1088.3396934202544,388.0385533968458,1340.2666494408343,1340.2666494408343,1340.2666494408343,1340.2666494408343,1340.266649440834,18789.102283489105
KENITRA,,279.1315915973498,495.3433815032242,495.3433815032242,495.3433815032242,495.34338150322407,495.3433815032242,278.94083592064953,344.2817789342543,344.2817789342543,344.28177893425436,344.28177893425436,344.2817789342543,539.8359002718818,497.4954179871803,497.4954179871803,497.4954179871803,497.4954179871803,497.4954179871803,511.98926914449055,717.165908444932,717.165908444932,717.1659084449319,717.1659084449319,717.1659084449319,743.0774819473922,801.066689689798,801.0666896897978,801.0666896897978,801.0666896897978,801.0666896897978,801.0666896897978,17430.8076513685
NOUIRATE,,366.6421118263155,258.0908892055376,348.1855159712129,348.1855159712129,348.1855159712129,348.1855159712129,347.6684779446232,474.15279610042796,519.9759591683303,519.9759591683303,519.9759591683302,519.9759591683303,745.7332088017125,529.3473427200496,572.7312008074831,572.731200807483,572.7312008074831,572.7312008074831,569.5249934619021,494.0282488222608,597.1668161474607,597.1668161474608,597.1668161474607,597.1668161474607,829.2838588009943,287.36614301055306,558.1320395813586,558.1320395813588,558.1320395813586,558.1320395813588,558.1320395813588,15844.736236979117
SIDI AHMED BEN AISSA,,212.76599980535772,31.37925423113655,402.14983576124,402.14983576124,402.14983576124,402.14983576124,144.40833365716674,53.72683741538853,425.4354678090413,425.4354678090413,425.4354678090413,425.4354678090413,171.06387914058908,40.249028960355865,298.3879157272758,298.3879157272758,298.3879157272758,298.3879157272758,277.10907978926116,221.64943982020955,713.4776977849624,713.4776977849624,713.4776977849623,713.4776977849624,675.1180677630616,210.24434867665013,1243.9691497037281,1243.9691497037281,1243.9691497037281,1243.9691497037284,1243.9691497037281,15615.363686107892
BIR TALEB,,175.1481173072486,69.76132704879464,273.9727911543543,273.9727911543543,273.9727911543543,273.9727911543543,156.3600635218482,71.60815544724407,330.9289250124105,330.9289250124105,330.9289250124105,330.9289250124105,256.7594141659486,141.03280162686215,420.8258303421559,420.8258303421559,420.82583034215577,420.82583034215577,367.88362041548186,360.6259331115244,611.2493895535578,611.2493895535579,611.2493895535578,611.2493895535578,663.3168446298396,232.53603096842454,1123.9137081949991,1123.913708194999,1123.9137081949991,1123.9137081949991,1123.9137081949991,14662.508593468128
AZGHAR,,145.702077677361,116.68974449693867,354.56093097938697,354.56093097938697,354.56093097938697,354.56093097938697,124.56916967056576,80.76200503097236,306.9097103534893,306.90971035348934,306.90971035348934,306.90971035348934,208.21487687650793,91.60405813505284,391.1394226185278,391.13942261852776,391.13942261852776,391.1394226185278,368.39775975952153,199.65180241739907,599.189350329123,599.189350329123,599.1893503291232,599.189350329123,791.2840042992686,209.40868914787748,906.7461039683144,906.7461039683144,906.7461039683144,906.7461039683144,906.7461039683144,13477.21236447515
CHBANATE,,269.7615729914047,94.89781992097741,359.8447999672205,359.8447999672205,359.8447999672205,359.8447999672205,177.7820597146068,94.98125505593694,391.9726132266414,391.9726132266414,391.9726132266414,391.9726132266415,330.25841160937733,161.2441547673603,462.45158035959275,462.45158035959287,462.45158035959287,462.45158035959287,357.288064026932,262.2198175573013,559.1105192993405,559.1105192993406,559.1105192993405,559.1105192993405,570.4671660103234,183.94680283248596,713.9555275199145,713.9555275199144,713.9555275199145,713.9555275199145,713.9555275199144,13166.142813497461
SIDI AMEUR EL HADI,,333.34786789408366,59.46256682641124,301.286872527777,301.286872527777,301.286872527777,301.286872527777,240.78732702385398,92.02028221223718,284.982762531834,284.982762531834,284.982762531834,284.982762531834,291.91762435515756,61.71093478597005,244.9211447953288,244.92114479532876,244.92114479532876,244.9211447953288,335.64519636141904,321.14933676911,611.273101147078,611.273101147078,611.2731011470779,611.273101147078,789.2461480888577,294.2657139507458,828.7840259144264,828.7840259144264,828.7840259144264,828.7840259144264,828.7840259144264,12733.32865184805
SIDI ALLAL TAZI,,200.82981224038514,201.79373661489447,201.79373661489447,201.79373661489444,201.79373661489444,201.79373661489447,214.34878536697693,318.1006516633995,318.1006516633995,318.1006516633995,318.1006516633994,318.1006516633995,571.4622587568574,491.4201123098336,491.42011230983354,491.42011230983354,491.4201123098336,491.4201123098336,589.0738569809018,512.2897409959859,512.289740995986,512.2897409959859,512.2897409959859,512.289740995986,507.9628642555505,300.7453898581352,300.7453898581352,300.7453898581352,300.7453898581352,300.7453898581352,300.7453898581352,11506.17112467005
SIDI MOHAMED BEN MANSOUR,,225.21856234510233,248.49228616312664,248.49228616312664,248.49228616312664,248.49228616312664,248.49228616312664,201.86631892034796,332.77661034531536,332.77661034531536,332.77661034531536,332.77661034531536,332.77661034531536,272.42733197577985,253.15623811990176,253.15623811990173,253.15623811990176,253.15623811990173,253.15623811990176,404.0248290679573,409.5610217034314,409.5610217034314,409.5610217034314,409.56102170343144,409.5610217034314,661.2646986957265,471.5246913782456,471.5246913782456,471.5246913782456,471.5246913782456,471.5246913782456,471.5246913782456,10813.880670933262
KARIAT BEN AOUDA,,413.75432099787696,216.73076807757207,216.73076807757207,216.73076807757207,216.73076807757207,216.73076807757207,299.2408518693632,228.26165270717246,228.26165270717246,228.26165270717246,228.26165270717246,228.26165270717246,416.29517546255073,134.2066382948453,134.2066382948453,134.2066382948453,134.2066382948453,134.2066382948453,427.0230953327134,332.49316189036637,332.49316189036637,332.49316189036637,332.49316189036637,332.49316189036637,957.5101945382152,318.0218541397154,318.0218541397154,318.0218541397154,318.0218541397154,318.0218541397154,318.0218541397154,8980.41586788879
OULAD BEN HAMMADI,,107.20708718221029,82.67545874836044,233.1603206826842,233.1603206826842,233.1603206826842,233.1603206826842,70.85559894910624,58.87895059583477,191.10749163747752,191.10749163747752,191.10749163747752,191.10749163747752,129.86414116869162,50.83713064137177,219.9580693231081,219.95806932310816,219.95806932310816,219.95806932310816,198.54016127283433,144.62855963753498,442.76979369079584,442.76979369079584,442.76979369079584,442.7697936907957,526.0788256737804,126.0757747377403,576.3372156030392,576.3372156030392,576.3372156030392,576.3372156030395,576.3372156030395,8725.310467958925
BOUMAIZ,,153.23245784460929,140.4979237322639,221.99066919596353,221.99066919596353,221.99066919596353,221.99066919596353,136.37546229992438,78.44716641686533,180.71079989156087,180.71079989156087,180.71079989156087,180.71079989156087,192.9428562625062,81.87929426591464,245.09688312863815,245.0968831286381,245.0968831286381,245.09688312863818,295.271279338726,241.81764747949936,391.33277508299585,391.3327750829959,391.33277508299585,391.33277508299585,570.5939720721797,209.98063556615486,440.8655551729928,440.8655551729928,440.8655551729928,440.8655551729928,440.8655551729928,8461.89098034024
ZIRARA,,109.21689251858581,82.90962755780389,233.0356299254174,233.0356299254174,233.0356299254174,233.0356299254174,76.84577420288088,61.31479491589117,198.68782619983148,198.68782619983148,198.6878261998315,198.68782619983148,158.67438167852663,68.30942749256808,215.49550282625086,215.49550282625086,215.4955028262509,215.4955028262509,180.41360847182332,138.20438771844601,352.8186178322108,352.8186178322108,352.8186178322108,352.81861783221075,405.31203227194396,141.06847508947035,412.492937078666,412.4929370786659,412.49293707866593,412.49293707866593,412.492937078666,7484.884394446112
